User,Location,Rating,Date,Content
Trang P.,"Seattle, WA",5,5/3/2020,"This place is such a gem! I have yet to try a pastry I do not like. I've had their passion fruit tart, earl grey croissant, blueberry danish (?), salted chocolate chip cookie- all have been wonderfully delicious!Today, I ordered the salted chocolate cookie and fruits and lemon curd for pickup and the staff gave me two extra pastries. Granted, it was 10 mins to closing but such a kind gesture. This shows they don't sell day old items and really value their patrons. If you haven't checked them out- please do. I mean.. what more enticing do you need than Earl Grey Croissant?!"
C M.,"Seattle, WA",5,4/25/2020,"This has become my favorite bakery, we're able to order online the night before and pick up the fresh pastries the next morning. Such a treat!"
Rachel R.,"Vancouver, Canada",5,5/11/2020,"I love this bakery, and it's my parents' favorite bakery as well! I live in Ireland right now, and I ordered pastries to be delivered on Mother's Day during the pandemic. The owner delivered them himself! He's very nice and loves having conversations about pastries. Thank you so much, Celine, for making this Mother's Day special!"
Lizzie M.,"Seattle, WA",5,5/30/2020,The best pastries in all of Seattle. On par with a Parisian Patisserie! The Whipped Strawberry Chocolate Cream Croissant was to die for although everything was 10/10. The owners were kind and welcoming and their online ordering system is seamless. This place is worth making a trip to! Will be back soon.
Fiona X.,"Seattle, WA",5,5/11/2020,"We got almond croissants and kouign amanns here for Mother's Day and omg...this may be my favorite pastry shop in all of Seattle.Everything was flaky, rich yet light, moist on the outside but crisp on the outside, and just so perfect. I love how the pastries have the right amount of sweetness and really let the ingredients shine. The almond paste in the almond croissants weren't too sweet like some of the other almond croissants I've had.We will definitely be back!"
I Need A.,"Edmonds, WA",5,7/12/2020,"The pastries are excellent, the desserts are excellent, and the service is excellent. I wish I'd found this shop sooner. I highly recommend trying it out."
Andrea O.,"Bellevue, WA",4,5/16/2020,"Cute little pastry shop with a European vibe. Pastry selection is usually wide, not so much today, probably due to the covid lockdown. Got a chocolate tart and a raspberry mascarpone cruffin, both delicious. The cruffin is crunchy and sugary on the outside and soft and amazing inside. I thought I'd eat only half because it's big and calorie dense looking, but after the first half, I went for an additional quarter and after that I finished it. Really good! I'd preferred it without raspberry sauce/jam, maybe with custard cream or hazelnut chocolate (Nutella), but that's me. Somehow I missed the praline hazelnut mousse, I'll go back to get that soon. Highly recommended. It's a 4* borderline 5"
Stephanie H.,"Denver, CO",4,12/27/2019,"The pastry selection was quite large and it was really hard to pick which pastries to get! All of the pastries looked really delicious in the glass case. We finally decided on the creme brulee danish and two cappuccinos.The danish was really flaky and delicious. The brulee filling could have used more flavor, but otherwise was very good. The cappuccinos were nothing special and the foam was not as smooth as I typically like. Overall I would love to go again and try more of their pastries! It was good, but not the best french pastry place I have tried."
Ada N.,"Goleta, CA",5,11/16/2019,Recommend: Pistachio croissant Turkey and Swiss croissant sandwich(bomb flavor)Feels like this breakfast/brunch place is extremely popular among the neighborhood. Cashiers can recognize lots of customers!
Em G.,"Seattle, WA",5,10/30/2019,"A really cute patisserie shop not too far from the zoo. A comfy place to get some work done, meet with friends or just take a break and enjoy some great food. Celine Patisserie's staff  is warm and welcoming and the space is spacious and bright. They are serving European style savory and sweet baked goods, individual desserts and whole cakes and tarts to share. I ordered the Raspberry and Mascarpone Cruffin. If you never had a cruffin, its croissant dough shaped or placed in a muffin liner/cup. In Celine's case its rolled in sugar then baked and stuffed with raspberry jam and mascarpone cheese. Such a fantastic combination. It too bad that I was too full otherwise I would have ordered more. But give Celine Patisserie a try if you're in the area. It might be a life changer."
